date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:37	56124/56124	---MCZ	200	added ('OK')	text/html	etag:W/%225bc13240-db3c%22	https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/landing-startup2748.html	(from )
23:10:37	1701/1701	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2022:10:37%20GMT	https://envato.z-projects.net/robots.txt		(from )
23:10:37	2345/2345	---M--	200	added ('OK')	image/png	etag:%225bb58668-929%22	https://envato.z-projects.net/html/dino/assets/img/favicon.png	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/img/favicon.png	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:38	115261/115261	---MCZ	200	added ('OK')	text/css	etag:W/%2253742eac-1c23d%22	https://envato.z-projects.net/html/dino/assets/vendor/strokegap/style.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/strokegap/style.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:38	31024/31024	---MCZ	200	added ('OK')	text/css	etag:W/%2259d842ce-7930%22	https://envato.z-projects.net/html/dino/assets/vendor/font-awesome/css/font-awesome.min.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/font-awesome/css/font-awesome.min.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:38	8368/8368	---MCZ	200	added ('OK')	text/css	etag:W/%2259f901d8-20b0%22	https://envato.z-projects.net/html/dino/assets/vendor/linearicons/style.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/linearicons/style.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:39	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%2259eefff6-1e822%22	https://envato.z-projects.net/html/dino/assets/vendor/bootstrap/dist/css/bootstrap.min.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/bootstrap/dist/css/bootstrap.min.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:39	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2259d81b7c-6f0%22	https://envato.z-projects.net/html/dino/assets/vendor/slick-carousel/slick/slick.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/slick-carousel/slick/slick.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:39	12334/12334	---MCZ	200	added ('OK')	text/css	etag:W/%225a0398c0-302e%22	https://envato.z-projects.net/html/dino/assets/vendor/fancybox/dist/jquery.fancybox.min.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/fancybox/dist/jquery.fancybox.min.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
23:10:39	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%2259e576ac-ce35%22	https://envato.z-projects.net/html/dino/assets/vendor/animate.css/animate.min.css	C:/Users/ADM/Dev/CSE/ASC_WebSite/envato.z-projects.net/html/dino/assets/vendor/animate.css/animate.min.css	(from https://envato.z-projects.net/html/dino/landing-startup.html?fbclid=IwAR0V_v60yX3rc9b848ygnSL3amaRAB2gae-7VeFzIDzyJ0ibF8WvptxqzG8)
